zone,construc,manufac,TCU,wholesl,retail,FIRE,service,private,govt,emp,pop,hshld,univ,acres,otherEmp,district,PARKTOT,PARKLNG,PROPFREE,PARKRATE,areatype,county,CBDFlag,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92
     57.00,         0,         0,     63.00,      2.00,    363.00,      5.00,     64.00,    497.00,         0,    497.00,     39.00,     24.00,         0,     48.00,     70.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,         0,         0,      2.00,    360.00,     33.00,     30.00,      5.00,         0,     15.00,         0,     26.00,         0,      2.00,         0,      3.00,     21.00,         0
     58.00,    463.00,    198.00,   1024.00,    675.00,    390.00,     65.00,   1980.00,   4795.00,      2.00,   4797.00,    789.00,    419.00,         0,    455.00,   2427.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,    463.00,    198.00,    675.00,    329.00,    889.00,    135.00,     58.00,      7.00,    362.00,    460.00,    238.00,      2.00,    829.00,         0,     61.00,     89.00,      2.00
     59.00,     34.00,     40.00,     74.00,     87.00,    123.00,    194.00,   2958.00,   3510.00,      2.00,   3512.00,         0,         0,         0,    136.00,    431.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,     71.00,     34.00,     40.00,     87.00,     58.00,         0,      3.00,    194.00,         0,    279.00,         0,    183.00,         0,   2412.00,         0,     65.00,     84.00,      2.00
     60.00,         0,      2.00,    154.00,         0,    147.00,         0,    154.00,    457.00,     79.00,    536.00,      6.00,      4.00,         0,    129.00,    235.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,         0,      2.00,         0,    124.00,         0,    154.00,         0,         0,      5.00,      1.00,     57.00,         0,         0,         0,     23.00,     91.00,     79.00
     61.00,    131.00,      9.00,   2999.00,    589.00,    258.00,    888.00,   2179.00,   7053.00,     13.00,   7066.00,   1437.00,    567.00,         0,    516.00,   4629.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,    131.00,      9.00,    589.00,    206.00,     61.00,   2938.00,    613.00,    275.00,   1166.00,    362.00,    331.00,     66.00,    177.00,         0,     52.00,     77.00,     13.00
     62.00,      4.00,     45.00,    171.00,     35.00,     31.00,     26.00,    292.00,    604.00,     48.00,    652.00,   1275.00,    487.00,         0,    279.00,    329.00,      1.00,         0,         0,         0,         0,      4.00,      1.00,         0,         0,         0,         0,      4.00,     45.00,     35.00,     28.00,      7.00,    164.00,     26.00,         0,    146.00,         0,     73.00,      1.00,     72.00,         0,      3.00,         0,     48.00
     63.00,         0,         0,    212.00,    314.00,      9.00,    494.00,    325.00,   1354.00,         0,   1354.00,    494.00,    232.00,         0,    284.00,   1020.00,      1.00,         0,         0,         0,         0,      1.00,      1.00,         0,         0,         0,         0,         0,         0,    314.00,      9.00,    210.00,      2.00,    489.00,      5.00,    224.00,         0,    100.00,      1.00,         0,         0,         0,         0,         0
     64.00,         0,         0,         0,         0,    211.00,         0,     66.00,    277.00,     13.00,    290.00,     10.00,      2.00,         0,    144.00,     13.00,      1.00,         0,         0,         0,         0,      2.00,      1.00,         0,         0,         0,         0,         0,         0,         0,     12.00,         0,         0,         0,         0,         0,         0,     24.00,         0,         0,     42.00,    199.00,         0,     13.00
     65.00,         0,         0,         0,         0,     71.00,         0,      3.00,     74.00,     13.00,     87.00,     10.00,      2.00,         0,     54.00,     13.00,      1.00,         0,         0,         0,         0,      2.00,      1.00,         0,         0,         0,         0,         0,         0,         0,     71.00,         0,         0,         0,         0,         0,         0,      3.00,         0,         0,         0,         0,         0,     13.00
     66.00,         0,         0,         0,      5.00,    362.00,     12.00,     85.00,    464.00,      2.00,    466.00,      4.00,      1.00,         0,    100.00,     19.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,         0,         0,      5.00,      1.00,         0,         0,     12.00,         0,     13.00,         0,     61.00,         0,     10.00,      1.00,    361.00,         0,      2.00
