tour_mode,OrigDistName,OrigDist,DestDistName,DestDist,totTrip,HomeDist,HomeDistName,income2,ProdDistName,AttrDistName
9,S Fulton,5,Atlanta,1,328,NA,NA,NA,NA,NA
9,S Fulton,5,Atlanta CBD,0,669,NA,NA,NA,NA,NA
9,S Fulton,5,Buckhead & SS,2,185,NA,NA,NA,NA,NA
9,S Fulton,5,Cent Gwinnett,16,4,NA,NA,NA,NA,NA
9,S Fulton,5,Chamblee,11,87,NA,NA,NA,NA,NA
9,S Fulton,5,Clayton,18,196,NA,NA,NA,NA,NA
9,S Fulton,5,N Fulton,6,21,NA,NA,NA,NA,NA
9,S Fulton,5,N Gwinnett,17,1,NA,NA,NA,NA,NA
9,S Fulton,5,N Suburbs,21,1,NA,NA,NA,NA,NA
9,S Fulton,5,NE DeKalb,10,70,NA,NA,NA,NA,NA
9,S Fulton,5,NW Cen DeKalb,8,164,NA,NA,NA,NA,NA
9,S Fulton,5,NW Cobb,14,8,NA,NA,NA,NA,NA
9,S Fulton,5,S Cobb,12,50,NA,NA,NA,NA,NA
9,S Fulton,5,S DeKalb,9,22,NA,NA,NA,NA,NA
9,S Fulton,5,S Fulton,5,418,NA,NA,NA,NA,NA
9,S Fulton,5,SE Atlanta,3,337,NA,NA,NA,NA,NA
9,S Fulton,5,SW & Cent Cobb,13,18,NA,NA,NA,NA,NA
9,S Fulton,5,SW Gwinnett,15,18,NA,NA,NA,NA,NA
9,S Fulton,5,SW Suburbs,19,2,NA,NA,NA,NA,NA
9,S Fulton,5,W Atlanta,4,248,NA,NA,NA,NA,NA
9,SE Atlanta,3,Atl DeKalb,7,675,NA,NA,NA,NA,NA
9,SE Atlanta,3,Atlanta,1,1921,NA,NA,NA,NA,NA
9,SE Atlanta,3,Atlanta CBD,0,4175,NA,NA,NA,NA,NA
9,SE Atlanta,3,Buckhead & SS,2,1540,NA,NA,NA,NA,NA
9,SE Atlanta,3,Cent Gwinnett,16,29,NA,NA,NA,NA,NA
9,SE Atlanta,3,Chamblee,11,681,NA,NA,NA,NA,NA
9,SE Atlanta,3,Clayton,18,976,NA,NA,NA,NA,NA
9,SE Atlanta,3,N Fulton,6,214,NA,NA,NA,NA,NA
9,SE Atlanta,3,N Gwinnett,17,4,NA,NA,NA,NA,NA
9,SE Atlanta,3,N Suburbs,21,1,NA,NA,NA,NA,NA
9,SE Atlanta,3,NE DeKalb,10,378,NA,NA,NA,NA,NA
9,SE Atlanta,3,NW Cen DeKalb,8,745,NA,NA,NA,NA,NA
9,SE Atlanta,3,NW Cobb,14,24,NA,NA,NA,NA,NA
9,SE Atlanta,3,S Cobb,12,308,NA,NA,NA,NA,NA
9,SE Atlanta,3,S DeKalb,9,243,NA,NA,NA,NA,NA
9,SE Atlanta,3,S Fulton,5,388,NA,NA,NA,NA,NA
9,SE Atlanta,3,SE Atlanta,3,5327,NA,NA,NA,NA,NA
9,SE Atlanta,3,SE Suburbs,20,10,NA,NA,NA,NA,NA
9,SE Atlanta,3,SW & Cent Cobb,13,77,NA,NA,NA,NA,NA
9,SE Atlanta,3,SW Gwinnett,15,130,NA,NA,NA,NA,NA
9,SE Atlanta,3,SW Suburbs,19,13,NA,NA,NA,NA,NA
9,SE Atlanta,3,W Atlanta,4,1969,NA,NA,NA,NA,NA
9,SE Suburbs,20,Atl DeKalb,7,9,NA,NA,NA,NA,NA
9,SE Suburbs,20,Atlanta,1,9,NA,NA,NA,NA,NA
9,SE Suburbs,20,Atlanta CBD,0,13,NA,NA,NA,NA,NA
9,SE Suburbs,20,Buckhead & SS,2,7,NA,NA,NA,NA,NA
9,SE Suburbs,20,Chamblee,11,6,NA,NA,NA,NA,NA
