TAZ,FIPS,Emp,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92,Cons,Manu,TCU,Whol,Retail,FIRE,Serv,Govt
1078,121,244,0,0,0,2,5,0,22,1,0,0,3,6,0,15,44,22,0,88,0,36,2,5,1,0,110,3,87,36
1079,121,101,0,0,0,2,0,0,10,0,0,0,3,0,0,8,55,11,0,12,0,0,2,0,0,0,22,3,74,0
1080,121,36,0,0,0,4,0,0,18,0,0,6,0,2,0,2,0,4,0,0,0,0,4,0,0,0,18,6,8,0
1081,121,128,0,0,0,0,0,0,68,0,0,1,3,0,0,8,0,16,0,31,1,0,0,0,0,0,99,4,25,0
1082,121,6,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
1083,121,86,0,0,0,0,0,0,5,0,0,1,19,0,0,5,0,11,0,45,0,0,0,0,0,0,50,20,16,0
1084,121,278,0,0,0,16,0,0,0,0,0,1,0,0,0,11,14,28,10,13,0,185,16,0,0,0,13,1,63,185
1085,121,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1086,121,9,0,0,0,6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,1,1,1,0
1087,121,334,0,0,0,67,32,23,6,0,113,0,0,2,0,21,26,0,3,33,8,0,67,32,113,23,39,0,60,0
1088,121,60,0,0,0,6,0,0,0,0,0,0,14,0,0,4,0,36,0,0,0,0,6,0,0,0,0,14,40,0
1089,121,113,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,59,0,0,0,43,0,0,0,0,3,0,67,43
1090,121,10,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0
1091,121,120,0,0,0,0,0,0,1,0,1,1,0,0,0,7,110,0,0,0,0,0,0,0,1,0,1,1,117,0
